tag,weight
узел,95
безопасность,90
база данных,88
балансировщик нагрузки,86
сервер,82
клиент,80
репликация,78
кэш,76
очередь сообщений,74
консенсус,73
аутентификация,72
авторизация,71
сообщения,70
шифрование,69
RPC,68
мониторинг,67
служба обнаружения,66
контейнер,65
API‑шлюз,64
оркестратор,63
брокер сообщений,62
логирование,61
синхронизация времени,60
процесс,60
конфигурация,59
REST,58
реестр сервисов,57
pub/sub,56
служба именования,55
gRPC,54
трассировка,53
лидер,52
кворум,50
виртуализация,49
маршрутизатор,48
проксирование,46
контейнеры,45
CDN,44
DFS,42
процессы,40
